Frame;Stage;Time;Time_TrackID;TrackID;FilamentID;Name;Location;Position_X;Position_Y;Position_Z;unik;Fibers;Fiber.TubGFP;Fiber.TubGFP_low;Position.TubGFP;Position_Type;Length;Position_Type_Track;
3;30,66666667;40;3_1100000015;1100000015;100000143;structure;Dorsal;78.2898;115.662;2.38159;3_110000001578.2898;2;0;0;GFPneg;multi;Short;multi;
3;30,66666667;40;3_1100000017;1100000017;100000144;structure;Dorsal;81.2821;111.848;2.80891;3_110000001781.2821;1;0;0;GFPneg;Single;Short;single;
3;30,66666667;40;3_1100000021;1100000021;100000149;structure;Medial;88.6864;118.659;1.39779;3_110000002188.6864;2;0;0;GFPneg;multi;Short;multi;
3;30,66666667;40;3_1100000022;1100000022;100000148;structure;Medial;89.7745;117.093;0.565628;3_110000002289.7745;1;0;0;GFPneg;Single;Short;multi;
3;30,66666667;40;3_1100000022;1100000022;100000152;structure;Medial;92.3136;119.029;1.03706;3_110000002292.3136;2;0;0;GFPneg;multi;LP-Contact;multi;
3;30,66666667;40;3_1100000026;1100000026;ID#002;structure;Medial;96.4923;113.204;4.09263;3_110000002696.4923;1;0;0;GFPneg;Single;#NA;multi;
3;30,66666667;40;3_1100000028;1100000028;100000155;structure;Medial;107.338;112.006;3.46784;3_1100000028107.338;3;0;0;GFPneg;multi;Short;multi;
3;30,66666667;40;3_1100000033;1100000033;100000176;structure;Medial;116.357;110.709;0.19436;3_1100000033116.357;2;0;0;GFPneg;multi;#NA;multi;
3;30,66666667;40;3_1100000034;1100000034;100000158;structure;Medial;119.95;114.561;2.42244;3_1100000034119.95;5;0;0;GFPneg;multi;LP-Contact;multi;
3;30,66666667;40;3_1100000037;1100000037;100000175;structure;Ventral;125.241;110.73;1.14515;3_1100000037125.241;1;0;0;GFPneg;Single;Short;multi;
3;30,66666667;40;3_1100000039;1100000039;100000174;structure;Ventral;129.225;111.37;-0.780259;3_1100000039129.225;3;0;2;GFPpos;multi;Short;multi;
3;30,66666667;40;3_1100000040;1100000040;100000160;structure;Ventral;131.667;107.074;1.36123;3_1100000040131.667;1;0;0;GFPneg;Single;Short;multi;
3;30,66666667;40;3_1100000041;1100000041;100000161;structure;Ventral;134.706;107.551;-0.307074;3_1100000041134.706;4;1;1;GFPpos;multi;Short;multi;
3;30,66666667;40;3_1100000042;1100000042;100000162;structure;Ventral;139.558;104.363;0.565952;3_1100000042139.558;1;0;0;GFPneg;Single;Short;single;
3;30,66666667;40;3_1100000043;1100000043;100000164;structure;Ventral;144.095;103.339;2.19189;3_1100000043144.095;7;1;0;GFPpos;multi;Short;multi;
3;30,66666667;40;3_1100000044;1100000044;100000165;structure;Ventral;145.99;100.564;2.70152;3_1100000044145.99;1;0;0;GFPneg;Single;Short;multi;
